event_type,repo,actor,created_at,text,in_reply_to
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:12Z,"ConversationalRetrievalChain + Memory Hi, 

I'm following the [Chat index examples](https://python.langchain.com/en/latest/modules/chains/index_examples/chat_vector_db.html) and was surprised that the history is not a Memory object but just an array. However, it is possible to pass a memory object to the constructor, if 

1. I also set memory_key to 'chat_history' (default key names are different between ConversationBufferMemory and ConversationalRetrievalChain)
2. I also adjust get_chat_history to pass through the history from the memory, i.e. lambda h : h.

This is what that looks like:

```
memory = ConversationBufferMemory(memory_key='chat_history', return_messages=False)
conv_qa_chain = ConversationalRetrievalChain.from_llm(
    llm=llm, 
    retriever=retriever, 
    memory=memory,
    get_chat_history=lambda h : h)
```

Now, my issue is that if I also want to return sources that doesn't work with the memory - i.e. this does not work:
```
memory = Conversation",
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:13Z,"Unexpected response structure from output text ### Checked other resources

- [X] I added a very descriptive title to this issue.
- [X] I searched the LangChain documentation with the integrated search.
- [X] I used the GitHub search to find a similar question and didn't find it.
- [X] I am sure that this is a bug in LangChain rather than my code.
- [X] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

```
class LlamaChatContentHandler(LLMContentHandler):
        content_type = ""application/json""
        accepts = ""application/json""

        def transform_input(self, inputs: str, model_kwargs: Dict = {}) -> bytes:
            payload = {
                ""inputs"": f""[INST] <<SYS>> You are a helpful, respectful, and honest assistant. Answer exactly in detail from the context. Answer the question below from the context below <<SYS>> {inputs} [/INST]"",
                ""parameters"": {""max_new_token",
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:13Z,"Streaming response comes with extra data. ### Checked other resources

- [X] I added a very descriptive title to this issue.
- [X] I searched the LangChain documentation with the integrated search.
- [X] I used the GitHub search to find a similar question and didn't find it.
- [X] I am sure that this is a bug in LangChain rather than my code.
- [X] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

```
async def generate_stream_response(message: str, user: dict, prompt_dict: dict):
    session_data[""chat_history_lc""].extend([HumanMessage(content=message)])
    prompt = ChatPromptTemplate.from_messages(session_data[""chat_history_lc""])
    agent = create_cohere_react_agent(
                llm=llm,
                tools=[search_for_1, search_for_2],
                prompt=prompt,
            )
    agent_executor = AgentExecutor(agent=agent, tools=[search_for_1, search_for_2], verbose=T",
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:15Z,"Inconsistent behaviour from RunnableWithMessageHistory documentation examples with runnables of different signatures ### Checked other resources

- [X] I added a very descriptive title to this issue.
- [X] I searched the LangChain documentation with the integrated search.
- [X] I used the GitHub search to find a similar question and didn't find it.
- [X] I am sure that this is a bug in LangChain rather than my code.
- [X] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

.

### Error Message and Stack Trace (if applicable)

_No response_

### Description

## Examples of runnables with different signatures:

In the RunnableWithMessageHistory documentation there are three main examples of runnables with different signatures:

1. Takes a dict as input and returns a BaseMessage.
```python
from langchain_core.prompts import ChatPromptTemplate, MessagesPlaceholder
from langchain_openai.chat_models im",
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:15Z,"OpenAIEmbeddings causes CUDA bug ### Checked other resources

- [X] I added a very descriptive title to this issue.
- [X] I searched the LangChain documentation with the integrated search.
- [X] I used the GitHub search to find a similar question and didn't find it.
- [X] I am sure that this is a bug in LangChain rather than my code.
- [X] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code


Working code
```python
from openai import OpenAI
from langchain_openai import AzureOpenAIEmbeddings, OpenAIEmbeddings
client = OpenAI(
    base_url=""http://localhost:8000/v1"",
    api_key=""token-abc123"",
)

models = client.models.list()
model = 'BAAI/bge-en-icl'

responses = client.embeddings.create(
    input=[
        ""Hello my name is"",
        ""The best thing about vLLM is that it supports many different models"",
        ""annual wellness"",
        ""What is an Annual Wellness Visit? An",
IssuesEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:15Z,"VolcEngineMaasLLM in langchain_community.llms refuse Skylark model ### Checked other resources

- [X] I added a very descriptive title to this issue.
- [X] I searched the LangChain documentation with the integrated search.
- [X] I used the GitHub search to find a similar question and didn't find it.
- [X] I am sure that this is a bug in LangChain rather than my code.
- [X] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

```python
from langchain_community.llms import VolcEngineMaasLLM
from langchain_core.output_parsers import StrOutputParser
from langchain_core.prompts import PromptTemplate

llm = VolcEngineMaasLLM(volc_engine_maas_ak=VOLC_ACCESSKEY, 
                        volc_engine_maas_sk=VOLC_SECRETKEY,
                        model = ""ep-20240923112242-j4z6l"", # coze_default_functioncall-preview（勿停止/删除）
                        # model = ""Doubao-lite-4k"",
                        regio",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:17Z,"Hi, @Atul227. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You are experiencing issues with the LangChain APIChain where POST and PUT requests fail, but GET requests succeed.
- The integration involves a Swagger page in YAML format with a language model.
- A 405 error is returned, indicating the 'GET' method is not supported for your POST request.
- The issue persists even after updating to the latest version of LangChain.
- No additional comments or activity have been made on this issue.

**Next Steps:**
- Please confirm if this issue is still relevant with the latest version of the LangChain repository by commenting here.
- If there is no response, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:17Z,"Hi, @pratikkejriwal. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- LangChain is not working correctly with Azure OpenAI deployments.
- Despite successful data retrieval using OpenAI libraries, outputs are nonsensical.
- @keenborder786 suggested checking Azure deployment and setting temperature to 0.
- You confirmed the issue persists even after these adjustments.
- You believe the problem lies within LangChain, not your code or configuration.

**Next Steps:**
- Please let me know if this issue is still relevant to the latest version of LangChain by commenting here.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:17Z,"Hi, @3coins. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You reported that the debugging and tracing guide is missing from the v0.3 documentation.
- The guide appears in search results but is not accessible in the v0.3 documentation.
- You suggested restoring the guide from v0.1 or fixing the search function.
- No further comments or developments have been made on this issue.

**Next Steps:**
- Please let me know if this issue is still relevant to the latest version of the LangChain repository by commenting here.
- If there is no response, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:17Z,"Hi, @adubovik. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- The issue involves `RunnableConfigurableFields` not excluding fields marked as private.
- You provided an example where a private field with `Field(default=None, exclude=True)` is not excluded.
- @chunkanglu has shown interest in investigating the issue further.

**Next Steps**
- Please let me know if this issue is still relevant to the latest version of LangChain. If so, you can keep the discussion open by commenting here.
- If there is no further activity, the issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:18Z,"Hi, @nociza. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You requested an estimated release schedule in the documentation to help manage dependency issues.
- The specific issue is with the tenacity dependency when using GraphRAG with LangChain.
- You mentioned a related pull request that you are waiting to be released.

**Next Steps:**
- Could you please confirm if this issue is still relevant with the latest version of the LangChain repository? If so, feel free to comment to keep the discussion open.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:18Z,"Hi, @AthulMohanDevkar. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You raised a concern about the lack of documentation or support for Google Vertex AI's Hybrid Search in LangChain.
- You requested clarification on current support and examples, or future support plans if not available.
- User kodychik showed interest in investigating the issue further.

**Next Steps:**
- Could you confirm if this issue is still relevant with the latest version of LangChain? If so, please comment to keep the discussion open.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:18Z,"Hi, @efriis. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- You suggested adding a banner to the v0.2 API reference page to indicate it is outdated.
- You also recommended a similar approach for the latest API reference page to show the version clearly.
- @eyurtsev noted that Google searches currently lead to the v0.2 version, emphasizing the need to address this to avoid user confusion.

**Next Steps**
- Please let me know if this issue is still relevant to the latest version of the LangChain repository. If so, you can keep the discussion open by commenting here.
- Otherwise, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:18Z,"Hi, @jiagaoxiang. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- The issue involves LangChain tools producing incorrect results when retrieving web content.
- The problem is not due to user error or outdated software, indicating a potential bug.
- Example code and unexpected behavior details have been provided, specifically with news articles about Google.
- No further activity or comments have been made on the issue.

**Next Steps:**
- Please confirm if this issue is still relevant with the latest version of LangChain. If so, you can keep the discussion open by commenting here.
- If there is no response, the issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:19Z,"Hi, @YoninL. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You are encountering an 'Invalid type for vector' error with LangChain's DocumentDBVectorSearch.
- The same vector search operation works correctly using pure pymongo code.
- Updating to the latest version of LangChain did not resolve the issue.
- No comments or developments have been made on this issue yet.

**Next Steps:**
- Could you please confirm if this issue is still relevant with the latest version of the LangChain repository? If so, feel free to comment here to keep the discussion open.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:19Z,"Hi, @realarslan33. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- You reported a bug with the `HuggingFaceEndpoint` in the LangChain library.
- The issue involves cached responses being returned even when `cache=False` is set.
- This behavior persists despite updating to the latest version.
- The problem occurs when the query remains unchanged, leading to cached results.
- There have been no comments or developments on this issue yet.

**Next Steps**
- Could you please confirm if this issue is still relevant with the latest version of LangChain? If so, feel free to comment to keep the discussion open.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:19Z,"Hi, @Toroi0610. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- The Neo4jGraph documentation lacks clarity on using authentication parameters when `NEO4J_AUTH=none`.
- Currently, users must set `user=""""` and `password=""""`, which is not intuitive and undocumented.
- You suggested updating the code to handle `auth=None` automatically or updating the documentation.
- You expressed interest in creating a pull request to address this issue.

**Next Steps:**
- Please let me know if this issue is still relevant to the latest version of the LangChain repository. If so, you can keep the discussion open by commenting here.
- Otherwise, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:20Z,"Hi, @XariZaru. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- The `DirectoryLoader` in LangChain is converting certain characters, like dashes, into new line characters.
- You reported this issue with example code, noting it occurs with the latest version.
- User williambohrmann3 confirmed experiencing the same issue.
- VaibhavLakshmiS and two students from the University of Toronto plan to fix the bug and submit a pull request by the end of November.

**Next Steps**
- Could you confirm if this issue is still relevant with the latest version of LangChain? If so, please comment to keep the discussion open.
- If there are no updates, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:20Z,"Hi, @xk97. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You reported a bug with LangChain's `_infer_arg_descriptions` function failing to parse Google-style docstrings with type annotations.
- The issue persists even after updating to the latest version.
- FrancisGajitos expressed interest in investigating the issue.
- Jesse1786 suggested the problem might be due to incorrect docstring formatting and plans to investigate further.

**Next Steps:**
- Please let us know if this issue is still relevant to the latest version of LangChain by commenting on this issue.
- If there is no further activity, the issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:21Z,"Hi, @KaifAhmad1. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You reported a ""list index out of range"" error in the `BaseAgent` class of the LangChain library.
- A group of students from the University of Toronto Scarborough, led by shamssab, showed interest in investigating the bug.
- e-than-c suggested that the error might be due to the input format and recommended using a dictionary format instead of a plain string.
- The issue seems to be resolved by changing the input format to a dictionary.

**Next Steps:**
- Please confirm if this issue is still relevant to the latest version of the LangChain repository. If so, you can keep the discussion open by commenting on the issue.
- Otherwise, the issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:21Z,"Hi, @tomaszbk. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- The issue involves a bug with agents using different tools on AWS Bedrock, resulting in a `ValidationException`.
- The error is due to an undefined `toolConfig` field.
- Another user, j10sanders, confirmed the issue occurs even without LangChain, suggesting a broader AWS Bedrock problem.
- User dlqqq suggested transferring the issue to the `langchain-ai/langchain-aws` repository for further investigation.

**Next Steps:**
- Could you please confirm if this issue is still relevant with the latest version of the LangChain repository?
- If there is no further activity, the issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:21Z,"Hi, @rabbit19981023. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- The issue involves a failure in the LangChain Zep integration due to a deprecated import of `ZepClient`.
- An ImportError occurs during the initialization of `ZepMemory`.
- Jacky3003 suggested updating tests and dependencies to use `Zep` and `AsyncZep`.
- You suggested updating the interface to resolve the error, with guidance provided by Jacky3003.

**Next Steps:**
- Please let me know if this issue is still relevant to the latest version of the LangChain repository by commenting here.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:21Z,"Hi, @uditdasari19. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- The `YoutubeLoader` fails to extract transcripts in AWS Lambda, showing a `TranscriptsDisabled` error.
- The issue does not occur in local environments.
- @gbaian10 suggests using `YoutubeAudioLoader` as an alternative due to potential external API call failures.
- Similar issues are reported in Google Cloud Run by @sptom.
- @pahud notes that anonymous transcript fetching might lead to blocks by YouTube.

**Next Steps:**
- Please confirm if this issue is still relevant with the latest version of LangChain. If so, you can keep the discussion open by commenting here.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:21Z,"Hi, @walterheck. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- You reported a dependency conflict between `langchain-pinecone` and `pinecone-client`.
- @anawishnoff suggested updating to the latest versions of `langchain` and `langchain-pinecone`.
- You confirmed that the issue was resolved with these updates.

**Next Steps**
- Please let us know if this issue is still relevant to the latest version of the LangChain repository.
- If there are no further updates, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:22Z,"Hi, @Kirushikesh. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You reported a bug where `HuggingFacePipeline` defaults to 'gpt2' instead of the specified model ID.
- This issue affects other modules like `ChatHuggingFace`.
- AndrewEffendi confirmed the issue and expressed interest in helping resolve it, including verifying compatibility with pydantic 2 and adding unit tests.

**Next Steps:**
- Please let us know if this issue is still relevant to the latest version of LangChain by commenting here.
- If there is no further activity, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:24Z,"Hi, @CREESTL. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary**
- You reported an issue with the `stop` parameter in the VLLM class.
- The language model continues generating output after the ""[END]"" sequence.
- MirrorLimit, a group from the University of Toronto, showed interest in investigating further.

**Next Steps**
- Please confirm if this issue is still relevant to the latest version of LangChain. If so, you can keep the discussion open by commenting here.
- Otherwise, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,langchain-ai/langchain,dosubot[bot],2025-01-20T16:01:26Z,"Hi, @861482002. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.

**Issue Summary:**
- You are experiencing a `TypeError` with the `ChatTongyi` model from the `langchain_community` package due to a missing 'prompt' argument.
- You have updated to the latest version of LangChain, suspecting a bug in the library.
- User keenborder786 suggested a code snippet, but the issue persists for you.
- The `ChatGLM` model works fine, leading you to speculate that the `ChatTongyi` model might not be adequately adapted by its team.

**Next Steps:**
- Please confirm if this issue is still relevant with the latest version of the LangChain repository. If so, you can keep the discussion open by commenting here.
- Otherwise, this issue will be automatically closed in 7 days.

Thank you for your understanding and contribution!",
IssueCommentEvent,ollama/ollama,jimbojw,2025-01-20T16:03:26Z,"> Your LLM inside memory will not behave as you want because of corrupt RAM. You will suffer from LLM dementia.

That is a reasonable concern. Maybe ollama could incorporate some kind of memory check, or link out to another tool.

However, one should still not have to re-download whole enormous files in the case of a memory error. It should be feasible to independently checksum small portions of files, and just re-download the corrupt segments.

Personally, I’d rather see ollama get out of the download business entirely. Make it easy for people to load models from disk, then let them use robust download tools like BitTorrent to acquire the files.",
IssuesEvent,deepseek-ai/DeepSeek-R1,SimplyYourAverageDev,2025-01-20T16:06:50Z,Knowledge / Training Cutoff of DeepSeek R1 Looked everywhere. I couldn't seem to find any mentions of the training cutoff of the DeepSeek R1 model.,
IssueCommentEvent,langchain-ai/langchain,Ansumanbhujabal,2025-01-20T16:13:46Z,"I solved the problem by switching to recommended models like llama-3.3-70b-versatile or llama-3.1-8b-instant 
[docs](https://console.groq.com/docs/tool-use#supported-models). 
They are better  for tool-calling compared to llama3.1 series , which has known limitations.",
PullRequestEvent,langchain-ai/langchain,ccurme,2025-01-20T16:16:30Z,"[feat] Added backwards compatibility for OllamaEmbeddings initialization (migration from `langchain_community.embeddings` to `langchain_ollama.embeddings` - [feat] **Added backwards compatibility for OllamaEmbeddings initialization (migration from `langchain_community.embeddings` to `langchain_ollama.embeddings`**: ""langchain_ollama""
    - **Description:** Given that `OllamaEmbeddings` from `langchain_community.embeddings` is deprecated, code is being shifted to ``langchain_ollama.embeddings`. However, this does not offer backward compatibility of initializing the parameters and `OllamaEmbeddings` object.
    - **Issue:** #29294 
    - **Dependencies:** None
    - **Twitter handle:** @BaqarAbbas2001


## Additional Information
Previously, `OllamaEmbeddings` from `langchain_community.embeddings` used to support the following options:
https://github.com/langchain-ai/langchain/blob/e9abe583b2efe80b4c38f4b7548a473bcca4dde5/libs/community/langchain_community/embeddings/ollama.py#L1",
IssuesEvent,ollama/ollama,ergosumdre,2025-01-20T16:18:03Z,"Support for num_beam and Advanced Decoding Parameters Thanks for creating Ollama. It’s been great getting models up and running quickly. As someone working on developing an LLM, I’d love to see support for advanced decoding parameters like num_beam. It would be very useful for fine-tuning the output. Right now, it seems a little limiting, and being able to tweak the settings. 

> 

>",
PullRequestReviewCommentEvent,langchain-ai/langchain,ccurme,2025-01-20T16:19:31Z,TIL that Ollama doesn't distinguish between parameters for embeddings and chat models: https://github.com/spring-projects/spring-ai/issues/230,
PullRequestReviewCommentEvent,langchain-ai/langchain,ccurme,2025-01-20T16:37:17Z,Could you comment why the logic around chunk overlaps below is necessary following the call to `super()`?,
PullRequestReviewCommentEvent,langchain-ai/langchain,ccurme,2025-01-20T16:40:11Z,"CI is failing on `test_vue_text_splitter`, and I'm finding that this test is flaky when I run it locally (it fails around 50% of the time).

I think it is due to the use of `list(set(...))` here and on line 73, since this is not deterministic. Using `sorted(set(...))` will likely fix it if that makes sense to you.",
IssuesEvent,deepseek-ai/DeepSeek-R1,Spike-Leung,2025-01-20T16:58:34Z,"DeepSeek error: (HTTP/2 400) deepseek-reasoner does not support the parameter `temperature` When call the api with deepseek-reasoner, it return: 

DeepSeek error: (HTTP/2 400) deepseek-reasoner does not support the parameter `temperature`

seems `temperature` not work for deepseek-reasoner?",
IssueCommentEvent,deepseek-ai/DeepSeek-R1,kiankyars,2025-01-20T17:24:29Z,"on the same page, we have ""reject sampling"" too, instead of ""rejection sampling""",
IssueCommentEvent,deepseek-ai/DeepSeek-R1,kiankyars,2025-01-20T17:38:21Z,"reinforcement learning (RL) is mentioned eight times, seems unnecessary to include the full name each time",
IssueCommentEvent,deepseek-ai/DeepSeek-R1,Sixzero,2025-01-20T17:42:53Z,"temp: 0.1 works idk why of if it is equivalent to temperature:
```
curl -X POST ""https://api.deepseek.com/v1/chat/completions"" \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer <DeepSeek API Key>"" \
  -d '{
    ""model"": ""deepseek-reasoner"",
    ""messages"": [
      {""role"": ""user"", ""content"": ""Explain Python in 3 sentences""}
    ],
    ""temp"": 0.1
  }'
```",
IssueCommentEvent,deepseek-ai/DeepSeek-R1,kiankyars,2025-01-20T17:46:42Z,"<img width=""894"" alt=""Image"" src=""https://github.com/user-attachments/assets/55f7bd61-8591-4612-82f8-0b42bcaa55e3"" />",
IssuesEvent,deepseek-ai/DeepSeek-R1,sigren,2025-01-20T17:54:34Z,Function calling When will R1 support function calling and structured outputs? Thanks,
PullRequestReviewCommentEvent,langchain-ai/langchain,sohanpsai,2025-01-20T17:55:08Z,"Oops my bad, pipeshift in the process of providing tool calling support. Mistakenly added support for structured_output",1913729698.0
IssuesEvent,langchain-ai/langchain,SyedBaqarAbbas,2025-01-20T18:00:43Z,"Missing options in `OllamaEmbeddings` of `langchain_ollama.embeddings` after migration from `langchain_community.embeddings` ### Checked other resources

- [x] I added a very descriptive title to this issue.
- [x] I searched the LangChain documentation with the integrated search.
- [x] I used the GitHub search to find a similar question and didn't find it.
- [x] I am sure that this is a bug in LangChain rather than my code.
- [x] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

There are no options to set parameters such as max tokens in OllamaEmbeddings imported from langchain_ollama.
Running the following code yields errors:

```python
from langchain_ollama import OllamaEmbeddings

embedding_client = OllamaEmbeddings(
    base_url=""http://localhost:11434"",
    model=""nomic-embed-text"",
    num_ctx=6144,
)
```

Previously, these were available:
```python
from langchain_community.embeddings import Ol",
PullRequestReviewCommentEvent,langchain-ai/langchain,sohanpsai,2025-01-20T18:22:37Z,"alright updated ref links

don't I need to add and update Chat models and LLMs entry in featureTable.js ?",1913724249.0
IssuesEvent,ollama/ollama,ruze00,2025-01-20T18:43:00Z,"Compatiblity with LM-Studio model folders It's a bit much having to either download each GGUF model twice - once for LM Studio and once for Ollama - or having to manually symlink and play with files, just to have a single set of models instead of duplicate model files.  It seems like it would be fairly trivial to support loading models from a shared folder or from the LM Studio default download path if needed.",
IssueCommentEvent,ollama/ollama,adrian77,2025-01-20T19:23:33Z,"The first level of mitigation of these problems are solved on hardware level, it's called ECC.(But not for laptops or desktops with non ECC memory). In rare cases where memory bits flips the ECC compensate for it. So normally there are no software level corrections built-in into for dealing with these errors. Ollama, VirtualBox, Videoediting tools or OS don't performs things like that. 

Yes, smaller files might get you into thinking that something is improved and in general I am not against it, because you can re-download those to be suspected fragments again as you said. But think it in this way. Let's say you have 10 000 files totalling 40GB data and you checksum and they are ok. Then assume you checksum all 10 000 files every single day and every day one random file claims it failed checksum. Now you are getting suspicious and instead of downloading you re-iterating process of checksumming the files, but this times all passed. How are you now thinking about this problem? My key que",
IssueCommentEvent,ollama/ollama,ehartford,2025-01-20T19:40:09Z,Very interested in this model,
IssuesEvent,deepseek-ai/DeepSeek-R1,fmarquezg,2025-01-20T20:00:24Z,"'DeekSeek-R1' typo Typo on DeepSeek_R1.pdf 

**2.4. Distillation: Empower Small Models with Reasoning Capability**
To equip more efficient smaller models with reasoning capabilities like ### DeekSeek-R1, we directly",
IssueCommentEvent,ollama/ollama,craigahobbs,2025-01-20T20:12:41Z,"I, too, would like such a JSON API. It doesn't need to be live - it can be a static resource updated daily, making it inexpensive to host.

I've created such a resource for the [ollama-chat](https://github.com/craigahobbs/ollama-chat) model download page here:

[models.json](https://craigahobbs.github.io/ollama-chat/models/models.json)

The file format is available here:

[models.json File Format](https://craigahobbs.github.io/ollama-chat/api.html#var.vName='OllamaChatModels')

The `models.json` file is updated nightly from https://ollama.com/library. Ideally, the format would contain the quantization (Q), but that information isn't on the main page, and I wanted to keep my scraper simple.

The scraper approach works as a temporary measure, but it's fragile and not a long-term solution. An official Ollama API would be much better.

Is this what other people are thinking?",
PullRequestEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:15:44Z,"community[minor]: Refactoring PyMuPDF parser, loader and add image blob parsers * Adds BlobParsers for images. These implementations can take an image and produce one or more documents per image. This interface can be used for exposing OCR capabilities.
* Update PyMuPDFParser and Loader to standardize metadata, handle images, improve table extraction etc.

- **Twitter handle:** pprados

This is one part of a larger Pull Request (PR) that is too large to be submitted all at once.
This specific part focuses to prepare the update of all parsers.

For more details, see [PR 28970](https://github.com/langchain-ai/langchain/pull/28970).",
PullRequestEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:16:14Z,core: Add ruff rule W293 (whitespaces),
IssueCommentEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:22:05Z,FYI this is the pyproject toml for the mono-repo which I think mostly is used for docs?,
PullRequestEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:24:33Z,core: Add ruff rule S101 (no assert),
PullRequestReviewCommentEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:24:22Z,Probably reasonable to not update this type signature -- this test is attempting to verify that all the information is getting picked up from the args_schema?,
PullRequestReviewCommentEvent,langchain-ai/langchain,eyurtsev,2025-01-20T20:28:31Z,These were intentionally due to pydantic forward references not being properly resolved. Do you know if the underlying issue is resolved? We'd potentially be seeing issues when running langchain or langchain community unit tests,
IssueCommentEvent,deepseek-ai/DeepSeek-R1,SimplyYourAverageDev,2025-01-20T20:31:13Z,"Inconsistent results, not reproducible. We need to ask the devs about this as the model is clearly hallucinating sometimes.

![Image](https://github.com/user-attachments/assets/d3cbef28-7d27-49b4-996c-b50b1e8e9354)
",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T21:04:53Z,https://ollama.com/library/deepseek-r1,
